PC1,PC2,patient,file_t1,file_t2
-1.0198462233730776,2.1603179617842274,Pt3,1_Pt3_F.txt,2_Pt3_F.txt
-0.9912237130820666,2.544334194277273,Pt4,1_Pt4_F.txt,2_Pt4_R.txt
-5.523389677276851,24.858410118364166,Pt12,1_Pt12_F.txt,2_Pt12_F.txt
-0.9979754983394173,1.3259639831786474,Pt15,1_Pt15_F.txt,2_Pt15_R.txt
-1.018630110665459,5.168466484950534,Pt15,2_Pt15_R.txt,3_Pt15_R.txt
0.8241152366114506,1.0414817463588377,Pt14,1_Pt14_F.txt,2_Pt14_F.txt
-2.7833191529201957,6.968504605158459,Pt14,2_Pt14_F.txt,3_Pt14_R.txt
-1.451649743756774,2.0135612864345984,Pt13,1_Pt13_F.txt,2_Pt13_R.txt
0.5751418694983083,6.410509579040303,Pt13,2_Pt13_R.txt,3_Pt13_F.txt
-1.3048958153552928,1.8898573522587223,Pt2,1_Pt2_F.txt,2_Pt2_R.txt
66.8591722554279,27.798533726019674,Pt18,1_Pt18_F.txt,2_Pt18_F.txt
-94.74734413665396,-35.43590725750592,Pt18,2_Pt18_F.txt,3_Pt18_F.txt
-0.4035970742364642,1.8911019602626453,Pt7,2_Pt7_R.txt,3_Pt7_R.txt
-0.3398404834537891,2.517886983575103,Pt20,1_Pt20_F.txt,2_Pt20_R.txt
-0.9606412192439491,4.893345374800393,Pt20,2_Pt20_R.txt,3_Pt20_R.txt
-3.1645628857727277,2.168073898885138,Pt9,1_Pt9_F.txt,2_Pt9_R.txt
-0.4155636823641009,1.7956762062109792,Pt9,2_Pt9_R.txt,3_Pt9_F.txt
-0.31851185049912584,1.175836990908072,Pt9,3_Pt9_F.txt,4_Pt9_R.txt
-1.3839038975091482,2.610455114536756,Pt16,1_Pt16_F.txt,2_Pt16_F.txt
-0.8629175072172167,1.2338990152508673,Pt16,2_Pt16_F.txt,3_Pt16_R.txt
-1.958003837599938,2.4249548699797647,Pt11,1_Pt11_F.txt,2_Pt11_R.txt
1.7461951471790411,3.953040917406443,Pt11,2_Pt11_R.txt,3_Pt11_R.txt
-2.8290672375326267,-0.5668789469090204,Pt11,3_Pt11_R.txt,4_Pt11_F.txt
-1.3231011833994613,2.4976285450752895,Pt10,1_Pt10_F.txt,2_Pt10_R.txt
0.7087129827438626,5.645299760378058,Pt8,1_Pt8_F.txt,2_Pt8_R.txt
47.221168631085895,-111.69684169720205,Pt17,1_Pt17_F.txt,2_Pt17_F.txt
-0.6193067298469084,2.3914293422322483,Pt1,1_Pt1_F.txt,2_Pt1_R.txt
-1.0902473415825067,1.5307110913242723,Pt1,2_Pt1_R.txt,3_Pt1_F.txt
-0.705718866111161,2.321851082009724,Pt1,3_Pt1_F.txt,4_Pt1_R.txt
-1.2932721534204334,2.990468979460191,Pt21,1_Pt21_R.txt,2_Pt21_F.txt
-0.7589793267199036,1.5915550965840035,Pt21,2_Pt21_F.txt,3_Pt21_F.txt
-1.688987049993803,3.282495923097949,Pt21,3_Pt21_F.txt,4_Pt21_F.txt
-0.46709197774410205,3.2959196743463344,Pt19,1_Pt19_R.txt,2_Pt19_R.txt
-7.518456568620147,-0.5443914078744174,Pt19,2_Pt19_R.txt,3_Pt19_F.txt
21.8200892906886,11.835539031662599,Pt19,3_Pt19_F.txt,4_Pt19_R.txt
-0.6855472194202447,2.089910405039746,Pt6,1_Pt6_F.txt,2_Pt6_R.txt
-1.1290032495198479,1.926998008643245,Pt6,2_Pt6_R.txt,3_Pt6_R.txt
