transition,TRBV10-1_TRBD1_TRBJ2-1,TRBV10-1_TRBD1_TRBJ2-5,TRBV10-1_TRBD1_TRBJ2-7,"TRBV10-1_TRBD2, TRBD1_TRBJ2-5","TRBV10-1_TRBD2, TRBD1_TRBJ2-7",TRBV10-1_TRBD2_TRBJ1-1,TRBV10-1_TRBD2_TRBJ2-1,TRBV10-1_TRBD2_TRBJ2-5,TRBV10-1_TRBD2_TRBJ2-7,TRBV10-1_TRBJ2-3
F->F,0.0008251451870212077,0.001945149044503198,0.0018568066426161468,0.0003417074756984438,,0.00019350064618375116,0.0003340865412390775,0.005245195470473805,0.0008811972706761806,0.004129860527452817
F->R,0.019737282838983197,0.0014128814312536152,0.0006930741826876229,0.002290111713092998,,0.00037688431715471825,0.000591926285585377,0.0032461554664174096,0.00020498102796132878,0.00012781417644364232
R->F,0.03128431249131818,1.0515176076569439e-05,0.0003514545633417381,,,9.176679973480501e-06,8.08507232323687e-05,,1.5732043630333932e-05,0.0003603006803646647
R->R,6.735665355488902e-06,1.72614527502239e-06,0.00011937104198599338,,,8.735213297095035e-06,0.004072002880847634,0.009918267235957423,0.000308980004228966,0.00030146215359338476
