Feature,Importance
"TRBV5-4, TRBV5-5, TRBV5-6, TRBV5-7, TRBV5-8",0.47580184221566785
"TRBV7-9, TRBV7-6, TRBV7-3",0.4758018270846128
"TRBV5-5, TRBV5-8, TRBV5-3, TRBV5-6",0.475801781670107
"TRBV27, TRBV28",0.4732514204740249
"TRBV4-1, TRBV4-2",0.4721081175810242
"TRBV7-4, TRBV7-3",0.47147918459072213
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9",0.47097237699925454
"TRBV6-4, TRBV6-1",0.4648743623845043
TRBJ2-5,0.4643576701235235
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-4",0.463037538012653
"TRBV6-6, TRBV6-5, TRBV6-8, TRBV6-1, TRBV6-3",0.4621235426923539
"TRBV5-5, TRBV5-8, TRBV5-6",0.4621235426923539
"TRBV11-1, TRBV7-9, TRBV11-3, TRBV5-5, TRBV7-6",0.46212354269235384
"TRBV5-3, TRBV5-5, TRBV5-8, TRBV11-3, TRBV7-9",0.46212354269235384
"TRBV3-1, TRBV3-2, TRBV6-1, TRBV6-5, TRBV6-6",0.46212354269235384
"TRBV6-1, TRBV6-5, TRBV6-8, TRBV6-3",0.45589685927419066
TRBV30,0.4547560868679726
TRBV10-2,0.45375426625453064
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV6-1",0.44839972399675215
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8",0.44583765014573973
"TRBV4-1, TRBV4-3, TRBV1, TRBV4-2",0.4453598298938466
"TRBV5-5, TRBV5-3, TRBV5-8",0.44179101597833526
"TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-1, TRBV6-3",0.44063476682822145
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-5, TRBV6-6",0.43981316947630467
"TRBV6-1, TRBV6-6, TRBV6-5",0.4370639821498736
"TRBV14, TRBV3-1, TRBV3-2, TRBV4-2",0.43700885479003965
