Feature,Importance
"TRBV6-5, TRBV6-6, TRBV6-8",0.019335521
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-3, TRBV6-9",0.019040372
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-8",0.019004986
"TRBV6-2, TRBV6-3, TRBV6-6, TRBV6-1, TRBV6-5",0.018853633
TRBV6-8,0.018734116
"TRBV6-5, TRBV6-6, TRBV10-3, TRBV6-9, TRBV6-1",0.018419296
"TRBV3-1, TRBV3-2",0.018093674
TRBV7-5,0.01809215
TRBV29-1,0.018040068
"TRBV7-2, TRBV7-8, TRBV7-9",0.017937547
"TRBV4-2, TRBV4-3",0.017812276
TRBV7-2,0.01763877
"TRBV9, TRBV7-4",0.017519865
"TRBV11-2, TRBV11-3, TRBV7-2, TRBV7-8, TRBV7-9",0.017509658
"TRBV7-3, TRBV7-4, TRBV7-9",0.017493734
"TRBV6-9, TRBV6-2, TRBV6-3",0.017441427
"TRBV6-6, TRBV6-5, TRBV6-8, TRBV6-2, TRBV6-3",0.017050568
"TRBV5-8, TRBV5-4, TRBV11-2",0.017043112
"TRBV6-1, TRBV6-5, TRBV6-8",0.016908258
"TRBV10-3, TRBV6-9",0.01645729
"TRBV4-3, TRBV4-2, TRBV4-1",0.016082538
"TRBV6-9, TRBV6-6, TRBV6-5",0.01585707
TRBV6-4,0.015855003
TRBV10-2,0.015767649
TRBV11-3,0.015669385
"TRBV5-5, TRBV5-3",0.015529876
"TRBV6-3, TRBV6-2",0.015388287
"TRBV10-2, TRBV10-1, TRBV6-1",0.015330684
"TRBV6-1, TRBV6-6, TRBV6-5, TRBV6-8, TRBV6-9",0.015067182
"TRBV24-1, TRBV20-1",0.015055196
"TRBV7-6, TRBV27",0.014989667
TRBV21-1,0.014331337
"TRBV6-6, TRBV6-5, TRBV6-1",0.014274038
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-8",0.014085533
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-9, TRBV6-8",0.013874745
"TRBV7-9, TRBV7-3, TRBV5-6, TRBV5-7",0.01381046
"TRBV7-9, TRBV6-1, TRBV6-5, TRBV6-6",0.01374606
"TRBV15, TRBV10-3",0.013666968
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV27",0.013487535
"TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",0.013439028
