Feature,Importance
TRBV7-4,0.04729499442156019
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-3, TRBV6-8",0.0472471997896972
TRBV1,0.046901029404192544
"TRBV7-2, TRBV7-8, TRBV7-9",0.04664576156637311
"TRBV6-1, TRBV6-5, TRBV6-8",0.04622586738556658
"TRBV6-4, TRBV6-1, TRBV6-5, TRBV6-6",0.04409841660386885
TRBV5-8,0.04390629146243284
TRBV6-7,0.04321489724707949
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9",0.042991496797064974
"TRBV6-4, TRBV6-1",0.04056737401964679
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8, TRBV6-2",0.04026632102032929
"TRBV10-3, TRBV6-1, TRBV6-5, TRBV6-6",0.04004370539751031
TRBV5-3,0.040033847417525865
TRBV16,0.038786047070865234
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-9, TRBV6-8",0.038347797261807946
"TRBV6-5, TRBV6-6",0.03745898540377424
"TRBV11-2, TRBV11-3, TRBV11-1",0.03658621436843431
"TRBV6-6, TRBV6-5, TRBV6-8, TRBV6-2, TRBV6-3",0.03628685165026251
TRBV7-5,0.03598906385087694
TRBV7-7,0.034828771290477754
"TRBV5-5, TRBV5-3, TRBV5-8",0.03468353655654937
"TRBV4-3, TRBV4-1",0.034462720958154704
"TRBV6-1, TRBV6-6, TRBV6-5, TRBV6-8",0.03431593279316541
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-8, TRBV6-9",0.033933169238957984
"TRBV6-6, TRBV6-5, TRBV6-3, TRBV6-2, TRBV6-8",0.03375062131082061
"TRBV6-5, TRBV6-6, TRBV6-8",0.033235156926984824
"TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",0.033230442059555484
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-2, TRBV6-3",0.033136851367476405
"TRBV6-1, TRBV6-6, TRBV6-5",0.032042653473415256
TRBV5-6,0.031551947514687144
TRBV12-1,0.03145372540375284
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-3",0.030962085839361005
"TRBJ2-7, TRBJ2-5",0.030406596382437635
"TRBJ2-7, TRBJ2-1",0.03030826474215577
TRBV11-1,0.02996214698145875
