Unnamed: 0,transition_type,gene_segment,freq
2,4,TRBJ1-3,-0.0001557625045292
3,4,TRBJ1-4,3.00316533626442e-05
4,4,TRBJ1-5,0.0162386833815239
5,4,TRBJ1-6,-0.0009467058458453
6,4,TRBJ2-1,0.0341997575429596
7,4,"TRBJ2-1, TRBJ1-2",6.00633067252885e-06
8,4,"TRBJ2-1, TRBJ2-7",-0.0029210134128166
9,4,TRBJ2-2,-0.000362828561393
10,4,TRBJ2-3,0.0002653512748784
11,4,"TRBJ2-3, TRBJ2-1",-1.98708395429707e-05
12,4,TRBJ2-4,0.0005354650060478
13,4,TRBJ2-5,0.0629723798033649
14,4,"TRBJ2-5, TRBJ2-7",-0.0019949421324949
15,4,TRBJ2-6,0.0001968078527643
16,4,TRBJ2-7,-0.0166455706609853
17,4,"TRBJ2-7, TRBJ2-1",1.20126613450577e-05
18,4,"TRBJ2-7, TRBJ2-4",-1.98708395429707e-05
0,2,TRBJ1-1,0.0639295484771766
1,2,TRBJ1-2,-0.0151671454073903
2,2,TRBJ1-3,0.0007812525263592
3,2,TRBJ1-4,-0.0002815255871568
4,2,TRBJ1-5,-0.2047475259173626
5,2,"TRBJ1-5, TRBJ1-2",1.23411082315192e-05
6,2,TRBJ1-6,0.0386568133336537
7,2,TRBJ2-1,0.0138446674964059
8,2,TRBJ2-2,-5.167469380800002e-06
9,2,TRBJ2-3,-0.0080114969379676
10,2,TRBJ2-4,0.0001676674570358
11,2,TRBJ2-5,0.1284407698840927
12,2,TRBJ2-6,-0.0122211958941678
13,2,TRBJ2-7,-0.005399003069533
0,2,TRBJ1-1,-0.0026970911151244
1,2,TRBJ1-2,0.0521059475276997
2,2,TRBJ1-3,0.0028230180079426
3,2,TRBJ1-4,-0.0116561707706677
4,2,TRBJ1-5,-0.0338024162433935
5,2,TRBJ1-6,0.0345508479502579
6,2,TRBJ2-1,-0.0086500025979339
7,2,TRBJ2-2,0.0183698741987345
8,2,TRBJ2-3,-0.0388142390278654
9,2,TRBJ2-4,-0.0172021731505796
10,2,TRBJ2-5,-0.0008899846690257
11,2,"TRBJ2-5, TRBJ2-7",-0.0013611225312233
12,2,TRBJ2-6,-0.0069382146771583
13,2,TRBJ2-7,0.0141617270983943
0,2,TRBJ1-1,-0.0501287564946371
1,2,TRBJ1-2,0.0205670483066869
2,2,"TRBJ1-2, TRBJ1-5",4.15582688487528e-06
3,2,TRBJ1-3,0.0143961490780665
