,transition_type,gene_segment,freq
20,2,TRBV24-1,-0.0246929118584557
21,2,TRBV25-1,0.0053511082092164
22,2,TRBV27,-0.0023444070292701
23,2,TRBV28,-0.0011115433933985
24,2,TRBV29-1,-0.0040336304396338
25,2,"TRBV3-1, TRBV3-2",1.200625954119998e-05
26,2,TRBV30,-0.0001265378293888
27,2,TRBV4-1,-0.0015910732660204
28,2,"TRBV4-1, TRBV4-3",0.0056281332597896
29,2,TRBV4-2,-6.03911020679307e-05
30,2,"TRBV4-2, TRBV4-3",-0.0043528048182802
31,2,"TRBV4-2, TRBV4-3, TRBV4-1",-2.32273469492041e-06
32,2,"TRBV4-3, TRBV4-1",-0.0003391192654583
33,2,"TRBV4-3, TRBV4-1, TRBV4-2",0.0019119278261783
34,2,"TRBV4-3, TRBV4-2",0.0002247405621525
35,2,"TRBV4-3, TRBV4-2, TRBV4-1",-0.0006564917889792
36,2,TRBV5-1,-0.0024769629758678
37,2,TRBV5-3,-0.0001625914286443
38,2,TRBV5-4,0.0005440383091028
39,2,"TRBV5-4, TRBV5-8",-0.0036292270717215
40,2,TRBV5-5,0.0038990539961272
41,2,"TRBV5-5, TRBV5-6",0.0007852359488862
42,2,TRBV5-6,-3.48410204238062e-05
43,2,"TRBV5-6, TRBV5-3, TRBV5-5, TRBV5-7",-2.32273469492041e-06
44,2,"TRBV5-6, TRBV5-5, TRBV5-7",-0.0008431526942559
45,2,"TRBV5-6, TRBV5-7",-0.0013898407607111
46,2,"TRBV5-6, TRBV5-7, TRBV5-5",0.0008799877849844
47,2,TRBV5-8,-0.0002531780817462
48,2,"TRBV5-8, TRBV5-4",-0.0005946200818994
49,2,TRBV6-1,-0.0037721211445506
50,2,"TRBV6-1, TRBV6-5",-0.0030497506544305
51,2,"TRBV6-1, TRBV6-5, TRBV6-6",-0.0166534184862853
52,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",3.80005624083236e-06
53,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3",-0.0003995103675263
54,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8",-0.0013239587761045
55,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8",0.0123016987477193
56,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-3",-0.0011915628984941
57,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-9",-1.6908262980169096e-06
58,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9",0.0004864071988265
59,2,"TRBV6-1, TRBV6-6, TRBV6-5, TRBV6-8",-0.0009360620820528
60,2,"TRBV6-2, TRBV6-3",-0.0032193102871594
61,2,"TRBV6-2, TRBV6-3, TRBV6-1",-2.32273469492041e-06
62,2,"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-5, TRBV6-6",-0.0020858157560382
63,2,"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-1, TRBV6-6",-0.0043853231040094
64,2,"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6",-0.0010675658365569
65,2,"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV6-1",-0.002968454940108
66,2,"TRBV6-2, TRBV6-3, TRBV6-9, TRBV6-5, TRBV6-6",-0.000729338694205
67,2,"TRBV6-3, TRBV6-2",-0.0020347155927501
