gene_segment,freq
TRBV10-1,-0.0047666125640392
TRBV10-2,0.0050176012790207995
TRBV10-3,-0.0057819731863256
"TRBV10-3, TRBV6-4, TRBV6-2, TRBV6-3",1.20126613450577e-05
"TRBV11-1, TRBV11-3",-0.0006016807288651403
"TRBV11-1, TRBV7-9",6.00633067252885e-06
TRBV11-2,-0.0013221357068918
"TRBV11-2, TRBV11-3",6.00633067252885e-06
"TRBV11-2, TRBV11-3, TRBV7-2, TRBV11-1, TRBV7-9",6.00633067252885e-06
"TRBV11-2, TRBV20-1",6.00633067252885e-06
TRBV11-3,0.0012433104492134
"TRBV11-3, TRBV11-1",0.0029065645622677
"TRBV12-3, TRBV12-4",-5.1047544798000035e-06
"TRBV12-3, TRBV12-4, TRBV20-1",6.00633067252885e-06
TRBV13,-1.386450887044185e-05
TRBV14,1.8018992017586548e-05
TRBV15,0.08945387317517299
"TRBV15, TRBV28",6.00633067252885e-06
TRBV18,-0.0009233178566034673
TRBV19,-0.0012537022068947
"TRBV19, TRBV27",6.00633067252885e-06
TRBV2,0.00011952973993469994
"TRBV2, TRBV11-2",6.00633067252885e-06
"TRBV2, TRBV5-4",6.00633067252885e-06
TRBV20-1,-0.20980840673432
"TRBV20-1, TRBV10-3",6.00633067252885e-06
"TRBV20-1, TRBV11-2",6.00633067252885e-06
"TRBV20-1, TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3",6.00633067252885e-06
"TRBV20-1, TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6",6.00633067252885e-06
"TRBV20-1, TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8",6.00633067252885e-06
TRBV21-1,0.0025013382883503
"TRBV21-1, TRBV19",6.00633067252885e-06
TRBV24-1,-0.033652229390165
TRBV25-1,0.0059956216803330005
"TRBV25-1, TRBV20-1",6.00633067252885e-06
TRBV27,-0.0174397253751651
"TRBV27, TRBV10-3",6.00633067252885e-06
TRBV28,0.03872656802624669
"TRBV28, TRBV11-1",6.00633067252885e-06
"TRBV28, TRBV5-1",6.00633067252885e-06
TRBV29-1,-0.0059133584025581
"TRBV29-1, TRBV5-4, TRBV5-8",6.00633067252885e-06
TRBV30,0.0001566153855820879
TRBV4-1,0.0004444684697671
"TRBV4-1, TRBV4-3",-0.0028642517081854998
TRBV4-2,0.0003774485610367
