unique_gene,count
"TRBV11-2, TRBV11-3, TRBV7-2, TRBV11-1, TRBV7-9",1
"TRBV10-3, TRBV6-4, TRBV6-2, TRBV6-3",1
"TRBV5-4, TRBV5-5, TRBV5-8, TRBV4-2",1
"TRBV11-2, TRBV20-1",1
"TRBV11-1, TRBV7-9",1
"TRBV7-9, TRBV7-3, TRBV7-6",1
"TRBV21-1, TRBV19",1
"TRBV7-3, TRBV11-2",1
"TRBV15, TRBV28",1
"TRBV4-3, TRBV4-2, TRBV7-2, TRBV4-1",1
"TRBV20-1, TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3",1
"TRBV20-1, TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6",1
"TRBV20-1, TRBV11-2",1
"TRBV20-1, TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8",1
"TRBV29-1, TRBV5-4, TRBV5-8",1
"TRBV7-3, TRBV2",1
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-6",1
"TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-1",1
"TRBV27, TRBV20-1",1
"TRBV5-8, TRBV5-5, TRBV5-4, TRBV4-2",1
"TRBV5-5, TRBV5-7, TRBV5-8, TRBV5-3, TRBV5-6",1
"TRBV10-2, TRBV10-1, TRBV6-1",1
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV10-3, TRBV6-9",1
"TRBV5-5, TRBV5-7, TRBV5-2, TRBV5-8, TRBV5-3",1
"TRBV7-7, TRBV7-6, TRBV7-3, TRBV7-4",1
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV10-3, TRBV6-4",1
"TRBV6-2, TRBV6-3, TRBV6-6, TRBV6-1, TRBV6-5",1
"TRBV6-1, TRBV6-5, TRBV28",1
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8, TRBV4-2",1
"TRBV28, TRBV20-1",1
"TRBV23-1, TRBV27",1
"TRBV5-1, TRBV20-1",1
"TRBV7-2, TRBV7-8, TRBV7-4",1
"TRBV5-8, TRBV5-3, TRBV5-4",1
"TRBV7-2, TRBV28",1
"TRBV5-8, TRBV5-5, TRBV5-3, TRBV5-4",1
"TRBV4-1, TRBV4-3, TRBV4-2",1
"TRBV6-8, TRBV6-5",1
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-4, TRBV6-6",1
"TRBV6-4, TRBV6-5, TRBV6-6",1
"TRBV10-2, TRBV28",1
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-6, TRBV6-5",1
"TRBV6-4, TRBV28",1
"TRBV18, TRBV10-3",1
"TRBV5-4, TRBV20-1",1
"TRBV2, TRBV28",1
"TRBV6-1, TRBV6-6, TRBV6-5, TRBV6-3, TRBV6-8",1
"TRBV7-9, TRBV6-1, TRBV6-5, TRBV6-6",1
"TRBV7-9, TRBV7-3, TRBV5-6, TRBV5-7",1
"TRBV20-1, TRBV19",1
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-9",1
